Date,Close,EMA30,SMA30,SMA60,SMA200
2013-09-16,4522.23877,4333.6894271617,4325.4884277333,4482.68132325,4627.6578718265
2013-09-17,4517.620117,4345.5559232803,4322.4594726333,4478.3999267667,4628.7050856327
2013-09-18,4463.253906,4353.1493415202,4317.5553710667,4472.1132894,4629.4498665051
2013-09-19,4670.73291,4373.6386040028,4319.1019368,4469.8479085333,4631.1580611582
2013-09-20,4583.828125,4387.1992182607,4317.2035155667,4469.0784749333,4632.3571428929
2013-09-23,4562.856934,4398.5319741148,4316.0394205333,4469.8698893333,4633.3147346735
2013-09-24,4460.413086,4402.5243039139,4309.6399576333,4470.38577475,4633.9417974133
2013-09-25,4406.76709,4402.7980320485,4299.8744303,4470.1840250833,4634.4619190867
2013-09-26,4405.893066,4402.9977116582,4290.5665689667,4467.1534424,4634.9048125969
2013-09-27,4423.719238,4404.3345843255,4285.7354166,4462.9529459833,4635.6577622143
2013-09-30,4316.175781,4398.6469195948,4285.8240071,4454.574292,4635.7278230969
2013-10-01,4345.898926,4395.2438232338,4291.5212076333,4447.3817383,4636.1168387653
2013-10-02,4387.604004,4394.7509316704,4297.1597330333,4441.6967366667,4636.6309416225
2013-10-03,4418.643066,4396.2923596916,4305.4007323667,4439.0549072333,4637.2739930816
2013-10-04,4389.347168,4395.8442828083,4312.7180663667,4435.8451416167,4637.7768056837
2013-10-07,4374.958984,4394.4968441755,4321.194401,4432.0476725333,4638.1459388316
2013-10-08,4432.506836,4396.9491017126,4336.6832275,4432.0290364667,4638.7305759082
2013-10-09,4457.437988,4400.8516105053,4351.0486571667,4432.9230061833,4639.3423624184
2013-10-10,4486.678223,4406.3888113114,4363.8181721667,4433.0569091833,4640.1917974082
2013-10-11,4519.912109,4413.7128950333,4374.6456135667,4434.480764918,4641.2685796327
2013-10-16,4492.26123,4418.7805295472,4387.6798909,4432.1718029508,4642.168601551
2013-10-17,4518.930176,4425.2417970603,4399.5104898667,4430.2570680656,4643.2782655357
2013-10-18,4546.570801,4433.0694747339,4415.2810139667,4428.6592277049,4644.6594487704
2013-10-21,4578.178223,4442.4313294607,4432.8581542667,4427.0063956721,4646.309256449
2013-10-22,4512.743164,4446.9675768503,4447.5377929333,4423.6016105082,4647.6486916378
2013-10-23,4546.499023,4453.3889604729,4459.3791666,4420.685018541,4649.0334099286
2013-10-24,4594.845215,4462.5151704424,4467.2692382333,4419.3057120656,4650.6302689847
2013-10-25,4580.846191,4470.1494298332,4474.9834797667,4416.2514007705,4651.978019898
2013-10-28,4590.538086,4477.9164399085,4482.7812499667,4414.1601722295,4653.2232392245
2013-10-29,4562.77002,4483.3908644305,4489.0222818667,4412.3348088197,4654.0574851786
2013-10-30,4574.87793,4489.2932557576,4490.7769205333,4410.9578236885,4654.8985969643
2013-10-31,4510.630859,4490.6698753216,4490.5439452667,4409.8129722459,4655.5019232551
2013-11-01,4432.588867,4486.9227134944,4489.5217773,4406.9293672787,4654.3703848985
2013-11-04,4423.288086,4482.8172536561,4481.2736165,4403.8623366721,4654.6767801421
2013-11-06,4449.759766,4480.684512517,4476.8046712,4401.0004322131,4655.3488336041
2013-11-07,4486.108887,4481.034472161,4474.2464029667,4398.4648277049,4656.2635380609
2013-11-08,4476.720215,4480.7561329893,4474.7899739333,4396.4802445902,4656.7418231777
2013-11-11,4441.724121,4478.2379386675,4475.9552083,4393.0265912787,4656.9494368934
2013-11-12,4380.640137,4471.9413063018,4475.113444,4387.7955622131,4656.79550933
2013-11-13,4301.891113,4460.9703260888,4471.0525065,4381.5129754426,4656.3057037462
2013-11-14,4367.371094,4454.931665954,4472.7590169333,4378.2132588033,4655.807669264
2013-11-15,4335.448242,4447.223057957,4472.4106608,4378.5727698853,4655.2770810457
2013-11-18,4393.591797,4443.7629766049,4472.6102539,4382.1565221312,4655.1605528477
2013-11-19,4398.335938,4440.8321999207,4471.9333496333,4385.1055007541,4655.0570446599
